ime,ocena,naslov
Alchemist Focal Banger,4.0,/beer/alchemist-focal-banger/100846/90442/
Neshaminy Creek Punkless Dunkel Pumpkin Wheat Ale,3.6,/beer/neshaminy-creek-punkless-dunkel-pumpkin-wheat-ale/286492/393737/
Ale Asylum Ambergeddon,3.4,/beer/ale-asylum-ambergeddon/59933/127077/
G\xc3\xa4nstaller Br\xc3\xa4u Affumicator,4.0,/beer/ganstaller-brau-affumicator/106788/319802/
Millstone Cellars Hopvine,3.8,/beer/millstone-cellars-hopvine/240264/188026/
Heineken H41,2.6,/beer/heineken-h41/414917/133347/
Three Floyds Wigsplitter,3.6,/beer/three-floyds-wigsplitter/342218/188026/
Boombox / Machine Pablo Esco Gnar,4.0,/beer/boombox--machine-pablo-esco-gnar/454620/188026/
Beavertown Skull King,3.3,/beer/beavertown-skull-king/329934/125872/
Alchemist Focal Banger,3.9,/beer/alchemist-focal-banger/100846/141261/
Hair of the Dog Matt ,3.7,/beer/hair-of-the-dog-matt/99157/18957/
Timothy Taylor Landlord &#40;Cask&#41;,4.2,/beer/timothy-taylor-landlord-cask/44523/428347/
Tired Hands Shambolic,3.8,/beer/tired-hands-shambolic/252225/61185/
Foley Brothers Prospect,4.5,/beer/foley-brothers-prospect/352934/57664/
Trillium / Amager Sigtebrod,4.0,/beer/trillium--amager-sigtebrod/454740/12252/
Lawson\xc2\x92s Finest Chinookerd IPA,4.7,/beer/lawsons-finest-chinookerd-ipa/92737/57664/
Pipeworks Emerald Grouper ,3.7,/beer/pipeworks-emerald-grouper/428893/142513/
Anchor Porter,3.5,/beer/anchor-porter/48/419889/
Westvleteren Extra 8,4.3,/beer/westvleteren-extra-8/4935/430218/
Otter Creek 25th Anniversary Double IPL,3.6,/beer/otter-creek-25th-anniversary-double-ipl/442822/12252/
Salopian Darwin\xc2\x92s Origin,3.4,/beer/salopian-darwins-origin/94270/824/
Tired Hands Ourison,4.0,/beer/tired-hands-ourison/372558/43796/
Rogue Dead Guy Ale,3.5,/beer/rogue-dead-guy-ale/589/254731/
Brooklyn Lager,2.1,/beer/brooklyn-lager/528/431241/
Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,4.4,/beer/chimay-triple--blanche-white--cinq-cents/52/417525/
Dieu du Ciel L\xc2\x92Herbe \xc3\xa0 D\xc3\xa9tourne,4.3,/beer/dieu-du-ciel-lherbe-a-detourne/123975/366526/
Kulmbacher Eisbock,2.9,/beer/kulmbacher-eisbock/14367/244348/
Beavertown Black Betty,3.7,/beer/beavertown-black-betty/191161/101044/
Aecht Schlenkerla Helles Lagerbier,3.8,/beer/aecht-schlenkerla-helles-lagerbier/16402/366526/
Smuttynose Baltic Porter,3.9,/beer/smuttynose-baltic-porter/83476/76991/
Northern Monk Patrons Projects 1.01 Coffee Porter,3.3,/beer/northern-monk-patrons-projects-101-coffee-porter/434783/81835/
Schneider Weisse Aventinus,3.1,/beer/schneider-weisse-aventinus/2224/414015/
Rogue Dead Guy Ale,3.7,/beer/rogue-dead-guy-ale/589/76991/
Founders PC Pils,3.8,/beer/founders-pc-pils/382690/76991/
AleSmith Speedway Stout - Bourbon Barrel Aged,4.2,/beer/alesmith-speedway-stout--bourbon-barrel-aged/28173/403505/
Sierra Nevada Hoptimum,3.6,/beer/sierra-nevada-hoptimum/117825/427683/
Rittmayer Hallerndorfer Bitter 58,3.3,/beer/rittmayer-hallerndorfer-bitter-58/338339/366007/
Tilmans Das Helle,3.6,/beer/tilmans-das-helle/284682/427683/
Camerons Rye Pale Ale,3.5,/beer/camerons-rye-pale-ale/167544/145812/
North Coast Old Rasputin Russian Imperial Stout,3.8,/beer/north-coast-old-rasputin-russian-imperial-stout/680/142274/
Westvleteren Extra 8,4.7,/beer/westvleteren-extra-8/4935/100269/
Superstition Aphrodisia Pyment - Cabernet/Syrah,4.0,/beer/superstition-aphrodisia-pyment--cabernet-syrah/260182/43711/
Driftwood Fat Tug IPA,3.9,/beer/driftwood-fat-tug-ipa/133091/43711/
Modern Times City of the Dead,4.1,/beer/modern-times-city-of-the-dead/312152/426635/
Oskar Blues / Shamrock Death By Coconut,3.4,/beer/oskar-blues--shamrock-death-by-coconut/261714/143114/
Kern River Just Outstanding IPA,3.9,/beer/kern-river-just-outstanding-ipa/60743/241596/
O\xc2\x92Fallon Imperial Pumpkin,4.0,/beer/ofallon-imperial-pumpkin/289765/120804/
Stillwater Tenacity &#40;/t&#601;&#712;nas&#601;d&#275;/&#41;,3.2,/beer/stillwater-tenacity-t601712nas601d275-/376381/100269/
Tired Hands Helles Other People ,4.0,/beer/tired-hands-helles-other-people/404618/27740/
Bell\xc2\x92s Roundhouse IRA,4.0,/beer/bells-roundhouse-ira/99505/27740/
The Bruery Melange #14,3.8,/beer/the-bruery-melange-14/425053/129822/
Lagunitas Born Yesterday Pale Ale,4.0,/beer/lagunitas-born-yesterday-pale-ale/295821/61185/
Wicked Weed Pernicious IPA,4.0,/beer/wicked-weed-pernicious-ipa/328500/4483/
Elysian The Great Pumpkin Imperial Pumpkin Ale,3.7,/beer/elysian-the-great-pumpkin-imperial-pumpkin-ale/41322/356371/
Boulevard 80-Acre Hoppy Wheat Beer,3.5,/beer/boulevard-80-acre-hoppy-wheat-beer/181865/82173/
Great Lakes Brewery Karma Citra,4.3,/beer/great-lakes-brewery-karma-citra/140085/429541/
Beyond the Pale Aromatherapy - American IPA,4.2,/beer/beyond-the-pale-aromatherapy--american-ipa/384806/95615/
Great Lakes Brewery Karma Citra,4.2,/beer/great-lakes-brewery-karma-citra/140085/87951/
Melvin Hubert MPA,3.8,/beer/melvin-hubert-mpa/291975/78912/
Alpine Beer Company Hoppy Birthday,3.8,/beer/alpine-beer-company-hoppy-birthday/123454/72211/
Samuel Smiths Oatmeal Stout,3.6,/beer/samuel-smiths-oatmeal-stout/87/163528/
Fremont Brew 1000,3.7,/beer/fremont-brew-1000/270858/188026/
Deschutes Fresh Squeezed IPA,3.3,/beer/deschutes-fresh-squeezed-ipa/119596/356371/
Driftwood Entangled Hopfenweisse,4.0,/beer/driftwood-entangled-hopfenweisse/297853/425598/
Cycle Barrel-Aged Hazelnut Imperial Stout,4.3,/beer/cycle-barrel-aged-hazelnut-imperial-stout/376070/188026/
Funky Buddha Wide Awake It\xc2\x92s Morning,3.9,/beer/funky-buddha-wide-awake-its-morning/148014/188026/
Tired Hands Shambolic,3.9,/beer/tired-hands-shambolic/252225/85479/
Trillium Scaled Up,4.1,/beer/trillium-scaled-up/382827/188026/
Sierra Nevada Vienna Lager,3.3,/beer/sierra-nevada-vienna-lager/58996/344778/
