naslov,ocena,pivovarna,mesto,drzava,stil,alkohol
/arrogant-bastard-ale/1315/,3.89,Stone Brewing,Escondido,USA,American Strong Ale,7.2
/pipeworks-lil-citra/392754/,3.65,Pipeworks Brewing Company,Chicago,USA,Session IPA,4.9
/buxton--omnipollo-lemon-meringue-ice-cream-pie/447868/,3.68,Buxton,,England,Fruit Beer,6
/founders-breakfast-stout/14956/,4.15,Founders Brewing Company,Grand Rapids,USA,Imperial Stout,8.3
/trillium--amager-sigtebrod/454740/,3.85,Trillium Brewing Company,Boston,USA,India Pale Ale (IPA),6.8
/crouch-vale-amarillo/24922/,3.6,Crouch Vale,,England,Golden Ale/Blond Ale,5
/victory-cage-radler/351429/,2.97,Victory Brewing Company (ABV),Downingtown,USA,Radler/Shandy,3
/rodenbach-alexander/1195/,4.15,Brouwerij Rodenbach (Palm),,Belgium,Sour Red/Brown,6
/oskar-blues-hotbox-coffee-porter/132098/,3.68,Oskar Blues Brewery,Longmont,USA,Porter,6.5
/schneider-weisse-tap-x-mathilda-soleil/319360/,3.72,Schneider Weisse G. Schneider & Sohn GmbH,,Germany,Weizen Bock,7
/tired-hands-ourison/372558/,3.88,Tired Hands Brewing Company,Ardmore,USA,Saison,4.8
/founders-imperial-stout/5933/,4.1,Founders Brewing Company,Grand Rapids,USA,Imperial Stout,10.5
/dublin-1798-revolution-red/387/,3.6,Dublin Brewing Company,,Ireland,Irish Ale,4.7
/founders-centennial-ipa/3168/,3.79,Founders Brewing Company,Grand Rapids,USA,India Pale Ale (IPA),7.2
/hill-farmstead-edward/120812/,4.02,Hill Farmstead Brewery,Greensboro,USA,American Pale Ale,5.2
/ganstaller-brau-affumicator/106788/,3.85,G\xc3\xa4nstaller Br\xc3\xa4u,,Germany,Smoked,9.6
/stone-ipa-india-pale-ale/422/,3.96,Stone Brewing,Escondido,USA,India Pale Ale (IPA),6.9
/orval/835/,3.91,Brasserie dOrval,,Belgium,Belgian Ale,6.2
/dangerous-man-peanut-butter-porter/299129/,3.93,Dangerous Man Brewing Company,Minneapolis,USA,Porter,5.3
/chimay-triple--blanche-white--cinq-cents/52/,3.8,Chimay,,Belgium,Abbey Tripel,8
/stone-go-to-ipa/253833/,3.68,Stone Brewing,Escondido,USA,Session IPA,4.8
/night-shift-furth/346002/,3.44,Night Shift Brewing,Everett,USA,German Hefeweizen,7.1
/st-ambroise-oatmeal-stout/839/,3.93,McAuslan Brewing (Brasseurs RJ),,Canada,Stout,5
